證券名稱,簡稱,年月日,外資買賣超(千股),外資買賣超市值(百萬),投信買賣超(千股),投信買賣超市值(百萬),自營買賣超(千股),自營買賣超市值(百萬)
M1800  ,玻璃陶瓷類指數,20000223,        -,    -4.86,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000223,        -,   -82.16,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000224,        -,    15.04,        -,        -,        -,        -
M2500  ,建材營造類指數,20000224,        0,   -79.87,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000224,        0,  -117.47,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000224,        -,    -1.32,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000224,        -,    -7.91,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000225,        -,    47.28,        -,        -,        -,        -
M2500  ,建材營造類指數,20000225,        0,     7.74,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000225,        0,   -41.15,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000225,        -,     0.70,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000225,        -,     3.53,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000229,        -,    49.81,        -,        -,        -,        -
M2500  ,建材營造類指數,20000229,        0,   -34.19,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000229,        0,  -160.35,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000229,        -,     2.43,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000229,        -,   -54.59,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000301,        -,  -124.06,        -,        -,        -,        -
M2500  ,建材營造類指數,20000301,       -5,   -15.17,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000301,        0,  -187.74,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000301,        -,     0.31,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000301,        -,     3.82,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000302,        -,   -36.65,        -,        -,        -,        -
M2500  ,建材營造類指數,20000302,       -2,   -27.28,        0,     0.00,        0,     0.00
