日期,收盤價,開市,高,低,成交量,更改%,報酬
2020年12月12日,"18,808.90","18,026.70","18,936.20","18,025.10",71.37K,4.36%,-0.041751511
2020年12月11日,"18,023.60","18,250.50","18,288.30","17,600.10",111.53K,-1.23%,0.012405957
2020年12月10日,"18,247.20","18,546.10","18,551.80","17,926.80",85.31K,-1.61%,0.016375115
2020年12月9日,"18,546.00","18,322.40","18,637.90","17,658.80",129.72K,1.20%,-0.011830044
2020年12月8日,"18,326.60","19,170.80","19,288.60","18,229.20",101.41K,-4.40%,0.046058734
2020年12月7日,"19,170.70","19,368.40","19,424.60","18,908.80",61.98K,-1.08%,0.010912486
2020年12月6日,"19,379.90","19,146.00","19,417.10","18,873.00",54.56K,1.22%,-0.012043406
2020年12月5日,"19,146.50","18,657.50","19,172.70","18,507.10",59.44K,2.62%,-0.025508579
2020年12月4日,"18,658.10","19,431.10","19,529.50","18,610.80",110.63K,-3.99%,0.041547639
2020年12月3日,"19,433.30","19,219.80","19,596.60","18,883.70",99.97K,1.12%,-0.011037755
2020年12月2日,"19,218.80","18,767.90","19,335.50","18,346.70",91.92K,2.39%,-0.023315712
2020年12月1日,"18,770.70","19,697.80","19,897.40","18,257.00",208.72K,-4.71%,0.049406788
2020年11月30日,"19,698.10","18,186.00","19,831.20","18,186.00",185.59K,8.32%,-0.076789132
2020年11月29日,"18,185.50","17,729.70","18,336.30","17,530.40",79.12K,2.57%,-0.025008936
2020年11月28日,"17,730.70","17,142.60","17,874.40","16,874.40",95.20K,3.52%,-0.034042649
2020年11月27日,"17,127.10","17,160.90","17,450.30","16,481.60",138.80K,-0.20%,0.002037706
2020年11月26日,"17,162.00","18,721.90","18,894.90","16,235.20",312.07K,-8.34%,0.090956765
2020年11月25日,"18,723.00","19,151.50","19,486.70","18,527.70",146.12K,-2.24%,0.022945041
2020年11月24日,"19,152.60","18,394.60","19,416.60","18,074.80",180.79K,4.21%,-0.040360056
2020年11月23日,"18,379.60","18,428.10","18,756.80","18,016.00",127.35K,-0.18%,0.001811791
2020年11月22日,"18,412.90","18,689.30","18,751.50","17,644.60",121.76K,-1.47%,0.014897164
2020年11月21日,"18,687.20","18,673.80","18,966.00","18,397.50",108.91K,0.06%,-0.000642151
2020年11月20日,"18,675.20","17,805.50","18,811.00","17,758.40",134.42K,4.90%,-0.046676876
2020年11月19日,"17,803.50","17,775.10","18,166.00","17,380.10",135.94K,0.16%,-0.001623276
2020年11月18日,"17,774.60","17,662.30","18,466.10","17,258.90",233.43K,0.64%,-0.006318004
2020年11月17日,"17,662.30","16,715.80","17,845.40","16,562.00",175.87K,5.66%,-0.053588717
2020年11月16日,"16,715.80","15,954.10","16,880.70","15,870.70",118.09K,4.78%,-0.045633473
2020年11月15日,"15,953.00","16,074.70","16,158.10","15,782.30",58.43K,-0.73%,0.007396728
2020年11月14日,"16,071.00","16,323.10","16,328.20","15,717.70",83.64K,-1.55%,0.015755087
2020年11月13日,"16,324.20","16,293.00","16,474.10","15,973.40",113.75K,0.18%,-0.001807133
2020年11月12日,"16,294.70","15,695.80","16,342.70","15,483.50",165.54K,3.82%,-0.036754282
2020年11月11日,"15,695.80","15,303.10","15,953.90","15,281.00",119.07K,2.56%,-0.024987576
